Trash Pollution,Oil Concentration,Bacteria Level,Algae Concentration,Humidity,Wind Direction,Air Temperature
High,2.74,287,5.87,87,201,
Medium,1.56,153,6.34,18,121,-2
Medium,1.7,200,8.55,93,334,32
Medium,0.1,303,6.83,94,3,22
Low,1.43,121,4.4,46,195,10
Low,0.49,195,7.04,39,74,2
Low,1.87,124,3.34,66,91,11
Low,2.69,155,9.43,72,338,35
Medium,0.34,248,4.91,21,8,25
Medium,3.72,176,6.11,77,8,39
High,3.08,385,5.49,99,43,
Medium,3.1,344,5.03,93,229,37
Low,2.63,293,6.45,58,139,35
Medium,1.94,364,11.83,84,348,31
Medium,3.87,224,12.6,94,286,39
Medium,3.23,203,7.64,56,299,26
High,2,283,4.72,23,9,6
High,1.44,38,4.68,81,233,25
Low,2.84,194,11.76,63,333,23
Low,0.33,382,5.31,47,112,32
Low,2.18,156,6.81,58,329,30
High,0.06,27,7.02,,45,33
Medium,1.42,150,8.37,62,235,29
High,0.47,157,6.37,52,55,7
Low,0.42,26,0.04,22,86,8
High,2.43,362,12.36,80,314,20
Medium,2.22,126,14.24,77,340,26
Medium,2.68,383,9.18,85,214,25
Low,1.83,380,13.99,55,105,23
Medium,1.57,286,5.5,42,241,9
Low,1.28,167,1.18,58,11,-10
Medium,0.32,169,2,95,50,20
Medium,2.84,336,14.14,94,182,27
Medium,3.19,224,10.32,74,281,40
Medium,0.34,367,1.22,37,80,22
Medium,1.6,176,3.46,82,59,-6
Low,1.88,93,5.11,16,174,-10
High,2.86,234,10.15,100,303,-8
High,0.34,193,4.06,23,126,23
Medium,2.57,154,8.74,98,234,30
Medium,3.32,225,12.36,74,263,24
Medium,1.1,137,6.65,43,94,21
High,2.36,65,1.9,19,113,25
Medium,1.7,60,7.5,14,125,-7
Medium,1.25,320,14.45,99,293,34
Low,0.97,107,3.13,29,49,-7
Low,0.63,113,4.57,64,242,23
High,3.69,359,4.64,62,347,39
High,0.83,50,0.84,47,157,34
Medium,0.08,81,12.16,18,187,3
High,3.76,168,8.38,73,237,34
Medium,1.26,175,9.21,99,181,28
High,0.93,292,8.81,79,225,34
Medium,1.98,219,2.75,36,129,10
Medium,1.36,384,1.44,53,25,17
High,2.08,336,12.11,60,261,28
High,2.21,177,8.63,100,189,36
Medium,2.19,192,5.21,97,185,40
Medium,1.98,142,5.37,32,145,-5
Medium,0.62,94,5.13,50,27,4
High,1.72,315,12.88,77,,33
Medium,1.19,114,1.26,50,42,-1
High,0.63,161,12.1,51,136,20
Low,3.29,322,0.38,31,246,32
Medium,0.53,106,5.36,44,40,36
Low,2.32,382,11.31,84,280,24
Medium,,59,1.49,46,91,11
High,1.6,193,11.7,64,,36
Low,1.99,164,8.43,52,179,3
Low,,15,9.6,14,221,-6
Medium,1.82,9,9.28,30,184,12
High,2.59,386,2.33,43,132,39
High,1.12,108,7.07,15,165,11
Medium,1.02,121,7.12,46,65,15
Medium,1.82,166,0.46,51,152,5
Medium,1.49,200,11.82,52,303,33
High,1.68,312,6.14,86,265,30
Medium,0.68,56,2.54,17,10,25
High,1.42,251,2.73,100,231,23
High,0.58,391,11.84,,193,34
Medium,3.96,199,7.98,41,39,5
Medium,3.77,179,13.04,72,214,28
Low,0.73,94,2.62,24,128,-7
Low,3.06,94,0.57,86,101,-5
High,1.5,62,9.64,52,354,22
High,0.91,161,1.69,55,1,24
Medium,3.46,15,0.86,51,183,16
Medium,1.2,143,6.65,47,189,36
Low,1.7,352,14.13,98,288,27
High,1.96,278,9,69,358,30
Low,3.03,244,6.84,48,220,-8
Medium,1.27,98,3.92,59,75,-3
High,1.88,262,11.42,34,212,40
High,0.82,153,4,54,273,40
High,1.84,198,1.84,44,55,3
Low,1.46,54,3.17,22,125,
Low,1.06,160,2.8,,75,38
High,2.36,186,10.4,71,269,22
Low,1.84,148,9.56,28,231,32
High,0.99,176,10.73,71,282,20
,3.35,279,4.62,25,204,24
High,1.66,9,11.65,53,276,32
Medium,3.96,216,6.42,75,257,-1
Low,0.89,152,0.43,25,67,4
Medium,3.57,316,12.87,62,283,39
High,1.61,328,11.14,96,303,28
High,0.05,2,11.9,31,134,-9
Medium,1.45,185,11.16,90,229,20
Medium,1.52,309,13.68,60,104,36
Low,0.22,80,3.46,18,37,5
High,1.17,89,12.14,57,11,5
Medium,0.4,12,14.81,31,80,25
Low,1.86,174,6.37,80,278,36
High,1.98,55,9.29,69,298,8
Low,1.35,199,7.67,60,71,12
Low,1.52,83,7.26,64,183,29
High,0.18,125,4.93,31,64,-3
Medium,0.17,384,10.82,87,307,26
Low,1.14,44,2.47,52,82,15
Medium,0.33,3,7.27,51,178,38
High,3.55,196,9.38,88,272,35
High,3.08,148,11.85,55,259,28
Low,1.17,73,1.31,14,110,-3
Medium,1.55,263,14.31,58,316,36
Medium,1.44,220,9.12,83,233,39
Low,3.13,384,11.28,96,229,33
Medium,1.95,159,11.78,82,181,38
Low,3.5,92,6.28,82,236,40
Low,0.26,7,3.33,24,,-1
Low,1.87,152,4.74,,83,13
High,0.73,159,7.27,97,211,-9
Medium,1.87,273,10.15,99,294,40
Medium,1.17,44,8.11,48,197,-10
High,,108,0.03,100,213,27
Low,2.06,122,11.28,91,185,22
High,2.56,42,4.46,92,244,29
Low,1.89,117,3.61,28,123,21
Low,1.99,236,11.11,76,352,24
Low,2.44,354,13.39,58,344,22
Medium,2.64,53,9.72,37,168,40
Low,3.06,222,4.33,81,184,28
Medium,0.02,24,6.91,44,2,10
High,1.36,399,9.08,66,295,26
Medium,1.87,171,1.01,52,113,20
,1.79,86,4.31,58,28,11
Medium,2.11,127,3.49,45,134,-8
Low,0.87,57,3.35,45,179,6
High,2.59,43,6.7,36,109,-3
Medium,3.84,311,11.54,99,228,25
Medium,1.43,14,0.77,53,189,-9
Low,1.07,189,3.33,,66,-4
High,2.02,293,14.5,37,298,40
Medium,,194,4.39,47,16,21
Medium,2.39,248,11,55,198,34
Medium,3.98,343,12.47,56,200,27
High,2.73,187,1.01,53,284,34
Medium,0.83,367,7.15,52,246,12
Low,0.91,47,8.68,26,44,2
Low,2.7,259,1.29,65,293,26
Medium,1.19,188,2.99,50,,
Low,0.47,118,3.38,29,86,11
Medium,1.15,150,14.25,54,40,14
Medium,0.08,182,6.68,47,179,17
High,3.46,274,4.98,95,346,
Low,2.84,203,12.81,86,213,24
Medium,0.61,48,6.55,56,184,-7
Medium,2.67,155,13.48,92,323,6
Medium,1.72,58,5.52,79,11,34
,2.66,362,3.38,72,359,24
Low,0.06,78,5.25,57,176,16
Medium,1.4,194,4.9,56,89,-5
Medium,2.67,86,10.89,64,291,34
Low,1.31,37,14.4,95,99,32
Medium,0.93,52,6.61,17,181,11
Medium,1.92,149,7.4,53,29,20
Medium,3.56,351,10.58,57,331,26
Low,0.68,69,1.42,27,159,-4
Medium,0.98,176,6.8,51,182,5
High,1.97,162,1.72,51,130,15
Medium,1.6,50,0.44,35,170,27
Low,2.24,140,6.55,79,358,20
Low,3.96,285,1.83,61,354,-6
High,1.26,312,2.09,77,235,33
Low,1.69,161,3.44,59,64,15
Medium,1.5,63,6.9,17,61,20
High,1.09,64,7.07,34,70,-5
Medium,3.14,272,10.22,69,208,27
High,0.71,176,5.36,51,210,17
High,0.96,136,4.98,52,102,3
Low,0.33,100,1.61,37,114,9
High,1.99,273,9.25,62,217,30
Low,1.92,142,6.97,95,247,35
Medium,1.55,85,0.06,20,122,-6
Low,3.69,185,11.16,64,356,25
Low,3.72,351,4.72,94,318,32
Medium,3.91,29,7.03,88,322,37
,0.03,199,0.2,14,60,11
Medium,1.26,111,2.22,69,233,14
Medium,3.7,234,11.7,56,280,36
Medium,1.35,268,11.48,57,290,25
Low,1.55,149,3.41,81,149,
Low,0.1,334,0.94,48,181,21
Medium,2.98,107,5.29,45,111,19
Medium,3.26,151,6.89,55,,32
Low,0.18,188,3.08,38,21,13
Low,0.56,305,10.71,86,345,23
Low,0.2,280,8.57,54,252,31
Low,1.54,16,4.17,55,156,-9
High,0.05,157,0.92,91,181,21
Medium,0.35,158,6,44,170,-7
High,1.28,397,14.65,93,318,27
Low,3.6,117,1.7,33,213,5
Medium,2.16,200,11.22,78,313,12
High,0.29,90,5.19,42,147,16
High,2.08,109,12.8,54,181,35
High,0.42,109,3.45,54,79,-3
Medium,2.03,331,7.19,99,187,28
High,1.19,360,11.5,92,297,22
High,3.92,342,13.41,93,17,32
Low,1.9,190,5.9,23,4,3
High,1.54,355,9.45,29,65,3
High,1.24,30,6.27,41,67,19
Low,1.69,363,9.38,56,359,39
Medium,2.87,200,12.08,64,207,40
Medium,1.81,296,6.31,81,284,24
Medium,3.96,353,13.06,83,305,29
High,3.51,190,10.76,90,196,33
Medium,1.68,309,11.26,93,262,27
Low,0.2,131,2.23,48,147,34
Medium,2.09,154,9.43,99,,33
Low,2,82,0.12,22,150,6
High,1.36,184,10.59,29,262,38
High,3.17,86,8.41,99,236,22
Medium,1.51,17,14.17,54,160,38
Medium,0.26,93,5.09,36,338,-3
Medium,1.81,49,5.39,91,268,20
High,0.38,41,11.28,23,24,-10
Medium,3.32,192,13.4,62,230,36
Medium,1.25,131,6.29,83,68,27
Medium,2.2,156,1.07,49,180,27
Low,0.39,25,4.79,61,147,3
High,3.92,177,6.13,75,274,
Medium,1.54,50,13.19,91,126,34
High,2.53,373,8.85,79,321,27
High,1.15,189,8.62,52,147,36
Low,3.01,100,0.39,55,200,20
High,3.66,166,7.56,92,207,18
High,2.52,121,11.05,45,121,13
Medium,0.34,91,0.01,46,119,2
Medium,1.53,59,5.37,54,32,-7
Low,1.9,4,6.42,94,8,4
Medium,0.73,2,1.2,46,131,-8
Medium,0.74,191,0.44,16,348,8
Low,3.95,306,7.24,95,278,30
Medium,0.59,358,6.88,26,147,
High,3.6,372,14.77,53,83,40
Medium,1.24,272,12.34,28,69,-1
High,1.68,79,4.81,43,284,9
Low,1.37,28,3.18,54,159,10
High,3.72,204,14.8,73,189,24
Low,1.14,100,5.45,38,58,12
Low,2.19,302,7.58,81,303,35
Medium,1.5,43,6.51,59,21,15
Medium,3.55,343,11.88,57,350,34
Medium,3.54,109,3.03,41,27,13
Medium,1.2,177,7.36,42,247,24
High,3.74,315,7.49,82,351,22
Low,0.9,159,3.96,47,86,21
Low,1.6,137,3.46,14,48,-7
High,0.74,188,7.68,,318,29
Low,,73,7.46,48,64,0
Medium,0.96,19,1.73,19,70,13
Medium,1.7,124,6.03,22,135,-6
Low,1.19,150,4.15,27,149,25
Low,0.5,298,2,39,161,8
Medium,3.39,170,5.8,71,235,26
Medium,1.27,188,5.15,59,349,29
Medium,1.11,378,2.52,98,54,1
Low,1.61,313,14.07,50,223,20
Medium,1.82,221,2.52,20,176,23
High,1.82,162,0.66,56,190,-6
High,2.87,252,11.02,59,315,34
High,1.43,378,5.39,26,47,0
Low,0.87,308,1.89,54,,-8
Medium,1.33,199,4.35,23,173,2
High,3.6,182,5.19,82,353,22
Low,3.58,302,3.97,75,242,39
Medium,1.62,366,0.9,25,18,-8
Low,1.85,343,4.76,30,79,9
Medium,1.76,117,2.2,51,51,2
Low,2.76,121,14.75,62,202,37
Low,0.82,146,14.38,26,147,11
Low,3.92,203,14.9,52,193,28
Medium,0.11,87,7.64,55,323,24
Low,1.67,94,1.81,71,177,4
Low,1.9,362,13.72,52,215,26
Medium,1.34,287,3.93,31,147,10
High,3.07,357,11.9,61,277,33
Low,0.52,16,7.36,25,117,16
Medium,1.6,303,9.31,68,336,20
Medium,0.62,306,0.13,57,192,7
Medium,2.04,363,0.01,60,266,30
High,3.64,173,7.55,22,207,22
High,2.76,371,11.55,58,355,39
Medium,0.24,169,6.74,58,121,33
,1.04,55,5.11,93,213,34
Medium,0.94,140,4.85,21,51,
Medium,0.45,73,7.36,21,65,22
Medium,0.75,45,2.25,58,64,18
High,3.81,82,4.3,70,342,23
Low,1.16,13,7.3,26,75,20
Medium,1.51,278,2.66,79,338,32
High,1,261,7.29,81,49,25
High,0.32,107,6.91,39,151,12
Medium,1.53,64,5.58,64,253,21
High,3.98,352,11.45,92,342,24
High,,368,5.04,50,313,35
Medium,1.29,286,5.66,92,346,37
Low,2.21,222,11.68,32,237,32
,1.9,398,12.15,81,192,27
Medium,3.25,35,8.08,69,290,23
High,0.23,211,1.6,71,333,33
High,2.54,19,7.1,81,122,29
Low,1.37,200,6.36,26,22,20
Medium,1.44,277,7.51,60,144,22
Medium,1.53,201,8.43,64,337,32
Low,3.36,148,2.83,52,126,10
Medium,1.62,345,13.12,89,58,39
Medium,2.95,166,10.11,22,204,34
High,2.02,154,6.85,18,233,39
Low,2.14,33,5.38,69,10,25
Low,1.17,174,0.82,38,242,15
Medium,1.25,369,3.8,53,122,16
,0.64,159,3.86,51,185,21
Medium,,47,0.86,32,179,
Medium,0.77,61,1.95,32,12,18
High,1.87,400,14.68,56,188,28
Medium,3.98,341,4.35,89,200,24
Medium,1.56,53,9.07,19,166,-8
Medium,0.67,19,4.34,28,153,14
Low,,344,11.73,29,104,10
High,0.26,135,6.82,51,47,7
Low,1.79,93,1.69,24,144,0
Low,1.54,123,5.77,49,194,13
Medium,0.88,94,5.19,98,131,23
Medium,1.13,129,5.18,55,162,11
Low,1.99,21,5.76,45,150,39
High,3.82,170,0.83,73,198,20
High,1.75,271,4.8,72,275,20
Medium,0.43,25,3.47,54,331,25
Medium,0.93,188,5.85,32,3,
Medium,3.9,254,6.96,76,350,29
Medium,1.44,221,8.58,82,183,31
Medium,2.21,252,1.74,54,310,28
Medium,1.46,388,1.06,35,187,24
High,1,83,3.92,22,61,23
High,1.48,45,5.29,15,167,10
High,2.78,155,4.87,80,243,32
Low,0.79,14,7.45,52,174,10
Medium,1.69,58,8.83,30,351,5
High,1.01,188,3.32,31,133,14
High,2.75,162,4.35,67,229,40
Low,2.71,242,10.97,99,205,20
High,2.51,206,14.77,80,292,20
High,2.25,303,9.23,83,358,35
Medium,0.94,190,4.9,82,202,21
High,1.81,9,14.73,41,58,22
,1.64,287,1.14,62,96,31
Medium,2.86,150,12.23,95,301,30
Low,3.91,360,13.82,73,226,-5
Medium,2.31,294,0.46,55,282,28
Medium,2.57,252,10.35,52,291,32
High,1.66,161,5.67,71,,19
High,0.46,173,3.36,40,,25
High,,285,10.78,61,331,20
High,,390,5.08,71,356,35
Medium,1.94,154,10.09,59,281,10
High,2.87,60,8.93,62,184,25
Medium,0.76,73,9.78,65,4,35
Medium,0.85,47,0.97,52,57,-7
Low,0.76,86,0.96,46,92,20
Medium,1.21,163,13.6,32,140,10
High,1.93,347,7.17,51,3,26
High,2.9,244,11.14,91,204,30
Medium,3.11,257,5.3,62,267,30
High,1.42,152,1.12,54,175,12
Medium,2.72,91,11.11,58,204,34
High,3.08,324,1.97,,253,26
Medium,1.95,295,7.55,56,304,26
High,3.87,31,5.96,40,326,29
Low,0.33,33,5.32,43,106,-8
Low,1.85,196,1.75,59,30,-5
High,1.89,316,5.68,55,305,37
Low,2.81,173,4.68,26,68,1
Medium,1.55,236,10.27,15,315,32
Low,2.49,191,12.2,54,248,32
Low,,355,7.31,30,189,-5
Medium,2.38,311,6.86,56,298,31
High,,68,1.63,37,54,22
High,1.7,274,0.32,44,73,9
Medium,3.67,320,6.01,97,329,39
Low,1.41,169,6.85,66,346,31
Medium,0.05,102,5.85,22,200,-7
High,0.6,52,1.65,23,62,-10
Medium,3.73,387,6.51,58,279,24
High,3.24,355,5.81,93,235,24
Medium,3.69,178,14.14,76,216,26
Medium,3.89,192,5.74,66,301,20
Low,2.88,377,10.3,29,357,32
Low,0.58,111,14.88,21,196,3
Medium,1.38,97,5.92,82,350,30
Medium,3.65,162,5.72,71,233,22
Low,1.31,290,6.29,90,28,21
Low,1.98,181,3,21,6,12
Low,0.45,177,6.44,21,262,10
Medium,2.26,211,10.65,53,324,36
Low,0.42,345,13.4,75,291,28
Low,1.88,64,3.02,61,170,15
Low,1.2,87,3.2,54,131,1
Medium,3.97,306,7.93,68,355,
High,3.94,66,14.1,50,270,28
Low,1,198,2.26,,22,23
High,1.53,65,11.21,53,94,8
Medium,0.96,396,1.19,26,33,
Medium,2.52,311,1.53,83,358,38
Medium,2,95,2.59,59,23,22
Medium,1.76,331,13.92,73,248,
Medium,2.58,305,4.4,84,,25
Medium,3.88,167,8.16,82,191,38
Low,1.01,327,13.65,51,328,
Low,0.46,3,6.91,56,141,40
Medium,1.01,45,0.94,17,136,18
High,3.65,304,9.88,80,190,29
High,3.72,64,11.6,43,322,18
Low,0.69,393,0.94,81,354,26
Low,1.18,43,7.04,48,56,-1
High,3.9,189,4.94,94,280,
High,0.26,344,1.94,30,134,4
Medium,0.19,153,6.61,73,17,8
Medium,1.55,137,2.35,41,150,21
Medium,,94,5.64,32,66,-2
Low,3.19,79,4.81,51,312,36
Low,0.83,199,6.48,,34,21
High,2.26,207,13.71,,283,28
Medium,1.97,193,4.6,100,342,12
Medium,3.36,247,13.32,83,315,
Medium,0.28,64,6.96,57,230,27
Medium,,144,4.77,38,14,36
Medium,0.1,70,0.49,44,20,14
Medium,3.16,170,4.5,58,286,15
Medium,1.21,272,11.2,58,201,36
High,3.96,396,7.01,87,347,31
Low,0.06,150,4.9,63,117,-7
High,0.92,128,0.9,32,190,-9
Low,2.28,249,2.29,97,259,25
Medium,0.88,178,5.35,35,99,4
High,0.6,99,4.89,50,141,28
Medium,,86,5.42,32,2,-2
Medium,0.83,52,7.24,43,100,-7
Low,1.26,307,3.32,52,215,34
High,1.52,264,7.91,,119,24
Medium,2.08,241,9.67,90,276,29
High,2.49,266,4.78,90,215,28
Low,3.4,231,9.36,55,293,38
Medium,1.83,158,10.18,50,289,38
Medium,1.38,380,13.53,70,250,-9
Low,2.8,9,9.47,85,224,37
High,3.04,395,1.82,88,0,
Medium,1.86,61,1.66,27,144,-8
Medium,1.83,91,6.7,23,2,5
High,1.85,183,14.17,66,195,25
High,1.7,105,1.93,47,82,-7
High,0.16,48,1.83,24,49,6
High,3.07,179,7.48,54,320,31
Low,3.36,195,5.96,37,71,9
High,3.55,274,14.97,50,36,38
Low,1.47,341,14.64,,82,14
Low,2,160,0.23,31,267,20
Medium,2.07,389,14.77,69,292,30
Medium,1.64,103,1.64,29,190,-2
Low,,330,13.52,81,214,35
Medium,0.08,366,6.6,34,165,15
Low,1.77,369,9.04,67,284,26
Medium,1.25,145,1.5,48,170,13
Low,1.25,44,14.61,40,154,10
Low,1.81,72,5.72,17,10,8
Medium,1.4,129,9.55,89,242,28
High,3.43,162,14.39,,204,32
Medium,1.24,230,10.85,50,37,22
Low,1.07,41,3.87,37,187,20
Medium,0.89,85,3.07,14,54,22
Low,0.12,133,4.13,49,119,-4
Medium,1.78,101,5.68,77,251,21
Medium,2.17,374,11.57,69,186,33
High,0.04,126,14.57,80,198,22
Low,1.76,341,0.48,18,150,17
High,1.92,207,7.24,71,318,25
Low,0.25,141,4.1,33,37,26
High,1.63,336,5.57,58,256,35
Low,0.68,200,0.81,52,34,-7
High,3.23,5,14.6,84,190,24
Medium,1.29,121,5.95,37,169,-9
High,1.94,131,0.96,24,126,2
Medium,3.99,288,10.4,53,181,32
High,1.74,191,9.61,75,299,1
High,3.12,389,6.46,23,193,22
Medium,0.49,124,6.25,86,31,22
Medium,1.76,260,5.99,71,182,26
High,2.75,375,5.29,54,312,24
High,3.23,191,11.91,83,235,20
Medium,1.76,194,14.65,83,337,29
Low,1.78,371,2.8,23,93,22
Low,1.08,123,7.04,56,168,21
High,2.68,70,10.05,72,272,34
Low,,94,4.91,24,55,2
Medium,1.93,262,1,63,10,-3
High,1,6,7.09,43,72,9
High,1.67,286,7.16,78,213,36
Medium,0.57,325,4.44,48,110,-9
Low,0.31,189,3.64,44,242,3
Medium,0.14,120,1.74,20,108,23
Medium,3.01,94,6.28,79,266,25
Low,0.05,294,11.74,80,224,32
Low,2.67,193,7.2,78,259,21
High,3.85,201,5.22,96,313,28
Low,0.03,33,5.75,16,159,24
High,0.28,186,4.75,38,177,2
High,3.27,342,10.51,57,227,0
Low,2.38,248,14.95,85,360,37
Medium,1.79,39,6.82,25,184,9
Low,,15,11.45,17,42,20
High,1.9,189,4.72,29,13,22
High,3.04,221,10.89,60,223,22
Medium,1.49,240,0.64,76,322,22
Medium,2.4,98,12.18,58,261,33
Low,0.74,53,4.12,50,102,-7
Medium,1.21,200,1.13,56,181,18
Medium,2.82,228,8.41,56,218,35
Low,1.19,162,5.71,44,135,-4
Low,0.83,35,4.41,39,85,9
Medium,0.27,74,6.75,22,16,4
Medium,0.53,12,0.8,52,52,-8
High,3.83,270,8.78,61,327,26
Low,3.3,297,3.55,80,197,22
High,1.66,224,9.89,56,243,9
High,3.21,156,0.05,42,34,38
High,1.16,366,2.54,30,185,23
High,3.27,397,14.66,54,169,20
Medium,1.23,243,2.15,19,157,-4
Low,0.12,157,5.13,48,60,23
Low,0.95,164,2.33,54,356,26
Low,1.13,218,5.14,16,24,-5
Low,2.62,133,8.19,30,,21
Low,,113,5,19,184,-8
High,2.01,160,5.41,72,266,20
Medium,2.17,130,5.88,92,297,37
Low,1.16,268,1.97,56,211,-2
Medium,0.9,65,11.78,18,,15
Low,0.02,384,3.88,38,80,29
Medium,1.67,284,13.31,59,199,25
High,3.48,353,7.96,68,188,33
Medium,2.25,179,1.1,94,184,27
High,0.53,7,4.68,38,67,3
Medium,2.97,174,14.31,33,234,23
Low,1.45,51,4.69,24,320,24
Medium,0.02,375,0.79,44,9,35
Low,2.5,19,9.02,57,354,27
Medium,1.71,173,12.46,74,215,24
High,0.32,78,4.1,54,2,-2
High,3.01,107,6.55,61,200,23
Medium,3.02,186,4.95,69,329,25
Medium,3.42,308,5.07,31,228,26
Low,1.8,335,3.12,23,173,5
Low,3.5,30,3.94,38,360,38
Medium,1.9,173,9.98,17,84,5
Low,1.11,44,5.83,35,221,-3
Low,1.85,174,1.14,40,77,16
High,2.42,306,14.91,80,202,29
Medium,3.72,217,13.28,66,244,
Low,1.17,144,2.62,48,29,9
Low,0.61,353,4.5,70,118,2
Medium,0.13,137,1.24,18,33,-1
Low,1.31,282,3.88,29,155,1
Low,0.61,42,8.81,32,59,23
Low,1.12,123,1.87,53,137,7
Medium,3.78,347,9.75,91,285,37
Low,1.01,172,5.7,16,38,16
High,3.97,153,4.36,77,340,35
Low,3.47,152,1.87,43,8,23
Medium,2.89,224,2.78,57,40,-8
Low,0.06,60,1.35,36,94,11
Medium,2.6,292,7.93,76,237,37
Medium,0.68,34,0.8,59,150,20
Medium,1.27,131,1.43,36,45,12
Medium,0.9,74,14.49,55,149,1
High,0.03,27,2.21,14,123,19
Medium,3.89,248,2.7,64,338,30
Low,1.13,89,2.57,54,105,-1
High,0.99,381,5.92,64,294,35
High,2.28,329,4.93,34,25,29
High,3.43,365,5.38,50,71,2
Medium,2.29,161,9.44,65,259,33
Medium,1.92,124,7,47,87,23
High,3.17,284,11.94,53,322,26
Medium,2.41,84,5.88,97,291,5
Low,0.56,35,4.31,34,13,2
Medium,3.99,116,1.19,33,59,-5
Medium,0.49,133,6.77,91,175,12
High,2.38,217,6.14,81,260,40
High,0.08,102,14.63,58,,22
High,1.73,98,5.97,76,221,24
Medium,0.69,104,5.33,,44,37
Medium,1.57,383,12.09,78,232,30
Medium,0.99,86,3,41,72,-6
Medium,1.59,196,2.81,33,78,13
High,1.67,85,3.81,38,20,25
Medium,2.7,63,6.93,43,22,40
High,1.5,280,5.77,26,199,4
Medium,3.59,105,10.32,33,96,-2
Low,1.31,108,4.9,53,152,14
High,1.98,366,7.47,69,239,33
Medium,1.03,164,3.8,57,,-10
Medium,1.66,123,1.96,39,193,5
High,2.85,197,10.82,72,307,20
Medium,1.58,33,5.74,21,129,24
Medium,,157,10.43,67,299,40
Low,2.29,98,6,25,98,-10
Medium,0.04,175,6.98,29,120,5
High,1.9,246,6.7,93,360,32
Low,0.83,8,3.3,55,180,2
High,2.82,217,13.33,100,239,37
Medium,2.37,353,14.67,88,214,19
Medium,0.81,152,2.77,62,63,19
High,1.7,27,14.02,71,216,28
High,2.91,203,9.95,83,318,20
Medium,1.66,52,6.1,76,60,24
Medium,0.2,218,12.48,29,95,14
Low,1.49,151,6.42,21,117,20
High,3.52,222,14.43,57,358,22
Low,3.05,170,9.9,63,267,32
Low,1.53,295,1.81,51,225,1
Medium,0.23,207,7.36,47,90,2
High,2.03,74,10.8,85,177,20
Low,0.31,55,6.19,19,126,19
High,3.24,218,8.77,56,299,31
Medium,1.42,276,10.97,87,269,30
Medium,0.24,266,3.78,23,100,-6
Medium,2.17,264,10.1,75,321,32
Medium,0.95,12,6.4,58,38,13
High,1.31,355,1.12,61,277,31
High,1.77,93,1.35,25,157,11
Medium,2,148,4.25,32,78,-1
High,1.13,161,4.58,29,97,14
High,1.17,152,6.76,45,87,-6
Low,1.39,187,5.34,,39,-4
,3.55,83,6.99,52,36,23
Low,0.78,32,0.13,34,149,5
Low,,35,13.12,73,188,26
High,1.83,279,0.69,59,96,37
Medium,1.55,131,9.9,51,48,
Medium,1.78,385,7.34,84,251,35
Low,1.9,130,6.32,16,111,23
,2.29,302,7.1,73,304,37
High,3.72,354,3.46,17,76,12
Low,1.36,190,4.6,19,106,38
High,1.6,156,7.38,48,206,-5
High,0.9,162,9.47,25,201,30
Medium,3.18,261,8.58,77,297,32
High,0.32,63,0.72,59,184,10
High,2.61,210,7.22,75,328,30
Medium,1.21,157,6.4,61,217,14
Low,3.7,328,5.82,58,322,30
Low,0.79,203,7.25,74,223,
Medium,1.92,75,1.95,50,102,
High,1.23,196,2.16,,239,0
Low,2.68,133,7.73,58,223,21
Medium,3.2,242,10.49,46,343,25
High,2.6,251,2.89,59,151,4
Low,3.37,173,6.78,77,199,35
High,1.36,29,7.15,56,314,-10
High,0.95,263,14.31,88,292,23
Medium,0.57,16,3.84,55,14,0
Medium,3.94,132,0.02,50,53,1
,0.38,66,5.83,21,147,8
High,2.19,145,9.71,52,351,37
Medium,2.82,355,0.89,86,69,20
Medium,3.41,227,6.58,52,304,25
Medium,0.98,330,3.01,16,191,-7
High,2.37,372,5.42,57,284,26
Medium,1.46,396,13.34,71,208,22
High,2.91,126,12.1,,276,25
Medium,,42,5,31,134,6
High,0.92,374,7.33,60,92,6
Medium,3.33,347,11.76,83,358,24
Medium,0.63,188,5.95,60,27,14
Low,0.17,325,6.6,44,142,0
High,1.2,77,2.21,58,151,24
High,0.49,299,3.18,47,155,7
Low,3.75,139,12.43,53,181,34
Low,1.35,54,2.85,48,124,23
Low,1.33,94,7.39,56,190,32
Low,1.51,77,1.15,38,23,5
Medium,3.11,79,9.05,85,216,
High,2.64,333,4.31,91,86,38
High,1.95,49,10.38,61,227,36
Low,0.87,117,5.46,55,101,8
Medium,1.32,307,9.47,36,344,28
Low,1.6,170,0.9,43,180,7
High,2.98,152,11.83,76,317,29
Medium,2.6,232,11.51,22,239,36
Low,1.38,85,3.89,56,1,37
Low,3.91,203,12.32,86,253,-3
Medium,1.76,321,4.79,86,312,26
Medium,2,182,1.5,,182,35
Medium,1.6,376,6.27,57,121,35
Medium,1.17,61,5.42,19,119,-10
Low,2.07,17,2.08,60,36,-1
Medium,3.13,102,1.28,33,120,-4
Low,0.8,127,10.47,19,131,-4
Medium,1.62,171,9.72,84,53,25
High,3.62,218,7.74,94,297,39
Medium,0.34,178,3.16,58,316,19
Low,1.52,184,6.18,19,186,9
High,0.66,294,7.22,78,332,25
High,1.54,213,5.22,85,330,30
Low,1,374,7.29,37,170,15
High,3.12,268,5.98,74,214,31
Medium,3.17,351,5.05,36,273,40
Medium,3.22,11,5.77,18,82,21
High,1.54,119,3.49,14,106,6
Medium,1.94,73,3.31,55,106,11
Medium,1.51,181,4.86,32,174,6
Low,1.63,284,1.13,57,,37
High,,91,6.17,74,221,40
